gene_id,Satrom-mRNA-48hC_GCCAAT_L003_001
1600014C23Rik,2
1600014K23Rik,0
1600015I10Rik,0
1600019K03Rik,0
1600020E01Rik,177
1600023N17Rik,20
1600025M17Rik,0
1600027J07Rik,0
1600029I14Rik,0
1600029O15Rik,7
1700001C02Rik,0
1700001C19Rik,0
1700001D01Rik,6
1700001F09Rik,0
1700001G01Rik,0
1700001G11Rik,127
1700001G17Rik,8
1700001J03Rik,0
1700001J11Rik,0
1700001K19Rik,20
1700001K23Rik,7
1700001L05Rik,73
1700001L19Rik,2
1700001O22Rik,2
1700001P01Rik,7
1700003C15Rik,0
1700003D09Rik,0
1700003E16Rik,11
1700003E24Rik,0
1700003F12Rik,9
1700003G13Rik,0
1700003G18Rik,1
1700003H04Rik,0
1700003I22Rik,0
1700003L19Rik,0
1700003M02Rik,0
1700003M07Rik,3
1700003O11Rik,0
1700003P14Rik,0
1700006A11Rik,0
1700006E09Rik,0
1700006F04Rik,0
1700006H20Rik,2
1700006H21Rik,0
1700007B14Rik,0
1700007E05Rik,0
1700007F19Rik,0
1700007G11Rik,2
1700007J10Rik,0
1700007K09Rik,5
1700007K13Rik,0
1700007L15Rik,301
1700007P06Rik,0
1700008C04Rik,0
1700008F21Rik,0
1700008I05Rik,0
1700008J07Rik,72
1700008K24Rik,0
1700008O03Rik,44
1700008P02Rik,0
1700009C05Rik,0
1700009J07Rik,0
1700009N14Rik,0
1700010B08Rik,0
1700010D01Rik,0
1700010H22Rik,17
1700010I02Rik,0
1700010I14Rik,29
1700010J16Rik,0
1700010K23Rik,0
1700010L04Rik,0
1700010N08Rik,0
1700011A15Rik,0
1700011B04Rik,4
1700011C11Rik,0
1700011E24Rik,1
1700011H14Rik,3
1700011I03Rik,0
1700011L22Rik,0
1700011M02Rik,0
1700012A03Rik,0
1700012B07Rik,0
1700012B09Rik,0
1700012C14Rik,1
1700012D01Rik,34
1700012D14Rik,33
1700012D16Rik,0
1700012H19Rik,0
1700012I11Rik,0
1700012J15Rik,0
1700012L04Rik,0
1700012P22Rik,0
1700013D24Rik,0
1700013F07Rik,43
1700013G24Rik,0
1700013H16Rik,0
1700013N06Rik,0
1700015C15Rik,0
1700015E13Rik,0
1700015F17Rik,0
1700015G11Rik,0
1700016B01Rik,0
1700016C15Rik,0
1700016C19Rik,0
1700016D06Rik,0
1700016G14Rik,12
1700016G22Rik,7
1700016H13Rik,0
1700016J18Rik,9
1700016K19Rik,34
1700016L04Rik,0
1700016L21Rik,1
1700016P04Rik,0
1700017B05Rik,5305
1700017D01Rik,0
1700017G19Rik,0
1700017J07Rik,0
1700017L05Rik,0
1700017M07Rik,0
1700017N19Rik,0
1700018A04Rik,0
1700018A23Rik,0
1700018B08Rik,3
1700018B24Rik,0
1700018C11Rik,0
1700018F24Rik,0
1700018G05Rik,0
1700018L02Rik,1
1700019A02Rik,14
1700019B03Rik,0
1700019B21Rik,0
1700019C18Rik,0
1700019D03Rik,730
1700019E08Rik,0
1700019F05Rik,0
1700019G17Rik,41
1700019G24Rik,0
1700019J19Rik,6
1700019L03Rik,31
1700019L22Rik,0
1700019M22Rik,0
1700019N19Rik,17
1700019O17Rik,0
1700019P21Rik,0
1700020A23Rik,4
1700020D05Rik,11
1700020D12Rik,0
1700020D14Rik,0
1700020G17Rik,0
1700020I14Rik,3284
1700020L24Rik,9
1700020M21Rik,0
1700020N01Rik,0
1700020N15Rik,0
1700020N18Rik,0
1700021F02Rik,0
1700021F05Rik,1350
1700021F07Rik,0
1700021G15Rik,0
1700021K19Rik,2823
1700021L23Rik,0
1700021N21Rik,2
1700022A21Rik,0
1700022A22Rik,0
1700022E09Rik,0
1700022H01Rik,3
1700022H16Rik,0
1700022I11Rik,16
1700022N22Rik,70
1700023C21Rik,0
1700023E05Rik,0
1700023F02Rik,0
1700023F06Rik,0
1700023G09Rik,0
1700023L04Rik,18
1700024B05Rik,0
1700024B18Rik,0
1700024F13Rik,45
1700024G13Rik,0
1700024I08Rik,0
1700024N05Rik,0
1700024P04Rik,0
1700024P16Rik,0
1700025B11Rik,0
1700025C18Rik,0
1700025D23Rik,0
1700025F22Rik,0
1700025F24Rik,0
1700025G04Rik,35
1700025J12Rik,0
1700025K24Rik,0
1700025M24Rik,0
1700025N23Rik,0
1700026D08Rik,6
1700026D11Rik,0
1700026F02Rik,0
1700026J12Rik,4
1700026J14Rik,2
1700026L06Rik,123
1700027A15Rik,0
1700027F06Rik,0
1700027F09Rik,0
1700027H10Rik,0
1700027I24Rik,0
1700027J07Rik,665
1700028B04Rik,0
1700028D13Rik,0
1700028E10Rik,16
1700028I16Rik,0
1700028J19Rik,23
1700028K03Rik,71
1700028M03Rik,0
1700028P14Rik,0
1700028P15Rik,0
1700029B22Rik,0
1700029F12Rik,0
1700029H14Rik,1
1700029I15Rik,15
1700029J03Rik,0
1700029J07Rik,108
1700029M03Rik,0
1700029M20Rik,76
1700029N11Rik,44
1700029P11Rik,0
1700030A11Rik,0
1700030C10Rik,0
1700030C14Rik,1
1700030E10Rik,0
1700030F04Rik,0
1700030F18Rik,10
1700030J22Rik,26
1700030K09Rik,955
1700030L20Rik,2
1700030L22Rik,4
1700030M09Rik,0
1700030N03Rik,0
1700030O20Rik,26
1700031A10Rik,0
1700031F05Rik,0
1700031L13Rik,0
1700031M16Rik,0
1700031P21Rik,0
1700034B16Rik,0
1700034E13Rik,0
1700034G24Rik,0
1700034H15Rik,35
1700034I23Rik,3
1700034J05Rik,0
1700034K08Rik,0
1700034O15Rik,0
1700034P13Rik,19
1700036G14Rik,0
1700037C18Rik,321
1700037H04Rik,2412
1700039E15Rik,2
1700039E22Rik,0
1700039I01Rik,1
1700039M10Rik,9
1700040D17Rik,0
1700040F15Rik,0
1700040L02Rik,130
1700041A01Rik,2
1700041B01Rik,1
1700041C23Rik,0
1700041M19Rik,0
1700042B14Rik,0
1700042G07Rik,0
1700042G15Rik,0
1700042O10Rik,2
1700044C05Rik,0
1700044K03Rik,0
1700045H11Rik,0
1700046C09Rik,0
1700047A11Rik,0
1700047E10Rik,7
1700047G03Rik,0
1700047I17Rik2,16
1700047L14Rik,0
1700047M11Rik,0
1700048B10Rik,0
1700048F04Rik,0
1700048M11Rik,18
1700048O14Rik,0
1700048O20Rik,1615
1700049E15Rik,0
1700049E17Rik1,0
1700049E17Rik2,0
1700049E22Rik,0
1700049G17Rik,188
1700049J03Rik,4
1700049L16Rik,0
1700051A21Rik,0
1700052H01Rik,0
1700052I22Rik,0
1700052K11Rik,67
1700052N19Rik,1784
1700054A03Rik,0
1700054K19Rik,0
1700054M17Rik,3
1700054O19Rik,0
1700055C04Rik,0
1700055D18Rik,79
1700055N04Rik,2
1700056E22Rik,10
1700057G04Rik,2
1700057H15Rik,0
1700057H21Rik,0
1700058M13Rik,0
1700060C16Rik,0
1700060C20Rik,0
1700060L04Rik,0
1700060O08Rik,0
1700061F12Rik,0
1700061G19Rik,63
1700061I17Rik,0
1700061J23Rik,0
1700062C10Rik,0
1700063A18Rik,0
1700063D05Rik,2
1700063H04Rik,0
1700063O14Rik,0
1700064F23Rik,0
1700064J06Rik,0
1700064M15Rik,4
1700065D16Rik,13
1700065I16Rik,0
1700065J11Rik,0
1700065J18Rik,0
1700065L07Rik,0
1700065O20Rik,0
1700066B17Rik,0
1700066B19Rik,41
1700066C05Rik,0
1700066J03Rik,0
1700066M21Rik,862
1700066N21Rik,0
1700066O22Rik,0
1700067G17Rik,0
1700067K01Rik,22
1700067P10Rik,0
1700069L16Rik,0
1700069P05Rik,0
1700071G01Rik,0
1700071K01Rik,0
1700071M16Rik,0
1700072B07Rik,2
1700072I22Rik,0
1700072O05Rik,0
1700073E17Rik,0
1700074H08Rik,1
1700074P13Rik,0
1700080E11Rik,0
1700080G11Rik,2
1700080G18Rik,14
1700080N15Rik,0
1700080O16Rik,0
1700081B01Rik,0
1700081H04Rik,0
1700083H02Rik,0
1700084C01Rik,0
1700084D21Rik,0
1700084E18Rik,1
1700084F23Rik,0
1700084J12Rik,0
1700084M14Rik,0
1700085C21Rik,0
1700086D15Rik,0
1700086L19Rik,0
1700086O06Rik,292
1700086P04Rik,12
1700087I21Rik,29
1700087M22Rik,0
1700088E04Rik,2
1700091H14Rik,0
1700092C02Rik,0
1700092C10Rik,0
1700092E19Rik,0
1700092K14Rik,0
1700092M07Rik,41
1700093K21Rik,0
1700094D03Rik,164
1700094J05Rik,0
1700094M23Rik,0
1700094M24Rik,0
1700095A13Rik,0
1700095A21Rik,0
1700095B10Rik,0
1700095J12Rik,1
1700096J18Rik,0
1700096K18Rik,29
1700096P03Rik,0
1700097N02Rik,0
1700099I09Rik,44
1700100I10Rik,0
1700100L14Rik,0
1700101E01Rik,57
1700101G07Rik,0
1700101I11Rik,3
1700101O22Rik,0
1700102H20Rik,7
1700102J08Rik,0
1700102P08Rik,10
1700104L18Rik,0
1700105P06Rik,2
1700106J16Rik,0
1700108F19Rik,0
1700108J01Rik,0
1700108N06Rik,0
1700109G14Rik,1
1700109G15Rik,0
1700109H08Rik,80
1700109I08Rik,0
1700109K24Rik,0
1700110C19Rik,2
1700110I01Rik,0
1700110I07Rik,0
1700110K17Rik,0
1700111N16Rik,0
1700112D23Rik,0
1700112E06Rik,0
1700112H04Rik,0
1700112H15Rik,0
1700112J05Rik,2
1700112J16Rik,2
1700112K13Rik,0
1700112N08Rik,0
1700113A16Rik,25
1700113B09Rik,2
1700113H08Rik,0
1700116B05Rik,0
1700116H05Rik,0
1700119H24Rik,0
1700120C14Rik,1
1700120E14Rik,0
1700120G07Rik,0
1700120K04Rik,44
1700121L16Rik,0
1700121N20Rik,0
1700122C19Rik,4
1700122E12Rik,16
1700122H20Rik,2
1700122O11Rik,1
1700123I01Rik,3
1700123J17Rik,0
1700123K08Rik,0
1700123L14Rik,0
1700123M08Rik,130
1700123O12Rik,0
1700123O20Rik,2331
1700123O21Rik,0
1700124L16Rik,10
1700124M09Rik,1
1700125G02Rik,0
1700125G22Rik,2
1700125H03Rik,10
1700125H20Rik,4
1700126H18Rik,2
1700128A07Rik,0
1700128E19Rik,0
1700128F08Rik,0
1700129C05Rik,0
1810006J02Rik,0
1810007C17Rik,0
1810007D17Rik,3
1810008I18Rik,0
1810009A15Rik,37
1810009J06Rik,0
1810010D01Rik,4
1810010H24Rik,20
1810010K12Rik,0
1810011H11Rik,52
1810011O10Rik,0
1810012K08Rik,48
1810012K16Rik,13
1810013A23Rik,0
1810013D15Rik,2
1810013L24Rik,3410
1810014B01Rik,697
1810018F18Rik,0
1810019D21Rik,2
1810019N24Rik,7
1810020O05Rik,0
1810021B22Rik,30
1810022K09Rik,855
1810024B03Rik,25
1810026B05Rik,613
1810026J23Rik,2877
1810030O07Rik,3167
1810032O08Rik,1240
1810034E14Rik,73
1810035K13Rik,0
1810037I17Rik,948
1810041H14Rik,24
1810041L15Rik,0
1810043G02Rik,149
1810043H04Rik,453
1810044D09Rik,160
1810046K07Rik,24789
1810049I09Rik,0
1810053B23Rik,0
1810055G02Rik,657
1810058I24Rik,1484
1810062G17Rik,63
1810062O18Rik,27
1810063I02Rik,0
1810064F22Rik,0
1810065E05Rik,0
1810073O08Rik,28
2010001A14Rik,76
2010001E11Rik,0
2010001M07Rik,0
2010002M12Rik,0
2010003K11Rik,2
2010005H15Rik,9
2010009K17Rik,3
2010010A06Rik,1
2010012O05Rik,496
2010016I18Rik,27
2010106C02Rik,0
2010106E10Rik,0
2010107E04Rik,3279
2010107G12Rik,38
2010107G23Rik,0
2010109A12Rik,11
2010109I03Rik,172
2010110K18Rik,88
2010111I01Rik,358
2010203P06Rik,0
2010204K13Rik,385
2010300C02Rik,8
2010300F17Rik,0
2010308F09Rik,0
2010310C07Rik,0
2010315B03Rik,0
2010320M18Rik,112
2010320O07Rik,0
2200002D01Rik,5
2200002J24Rik,127
2210008F06Rik,14
2210010C04Rik,0
2210011C24Rik,0
2210011K15Rik,0
2210013O21Rik,0
2210015D19Rik,628
2210016F16Rik,6
2210016L21Rik,1766
2210018M11Rik,2903
2210019I11Rik,0
2210039B01Rik,0
2210404E10Rik,2
2210404O09Rik,0
2210406O10Rik,17
2210407C18Rik,0
2210408F21Rik,68
2210408I21Rik,562
2210409D07Rik,0
2210409E12Rik,0
2210414B05Rik,13
2210416O15Rik,0
2210417A02Rik,88
2210420H20Rik,0
2300002M23Rik,0
2300003K06Rik,0
2300005B03Rik,0
2300009A05Rik,193
2310001H17Rik,225
2310001K24Rik,0
2310002D06Rik,0
2310002F09Rik,0
2310002L09Rik,0
2310003H01Rik,793
2310003N18Rik,14
2310005A03Rik,0
2310005E17Rik,0
2310007B03Rik,0
2310007L24Rik,4
2310008N11Rik,0
2310009A05Rik,245
2310009B15Rik,116
2310010J17Rik,46
2310011J03Rik,1342
2310014F06Rik,0
2310014L17Rik,165
2310015A10Rik,953
2310015A16Rik,0
2310015B20Rik,1
2310015D24Rik,0
2310015K22Rik,0
2310016D03Rik,0
2310016D23Rik,8
2310016G11Rik,0
2310020H05Rik,0
2310022A10Rik,2277
2310022B05Rik,1604
2310026I22Rik,8
2310030A07Rik,0
2310030G06Rik,0
2310033P09Rik,727
2310034C09Rik,0
2310034G01Rik,36
2310034O05Rik,0
2310034P14Rik,11
2310035C23Rik,3288
2310036O22Rik,2503
2310039H08Rik,345
2310039L15Rik,2
2310040G24Rik,8
2310043L19Rik,1
2310043O21Rik,0
2310045N01Rik,737
2310047D07Rik,13
2310047M10Rik,232
2310050C09Rik,0
2310057J18Rik,0
2310057M21Rik,965
2310057N15Rik,0
2310061I04Rik,263
2310061J03Rik,7
2310061N02Rik,0
2310065F04Rik,2
2310067B10Rik,2266
2310067E19Rik,0
2310068J16Rik,5
2310069B03Rik,0
2310069G16Rik,0
2310075C17Rik,0
2310075K07Rik,91
2310079G19Rik,0
2310081J21Rik,0
2400006E01Rik,0
2410002F23Rik,3158
2410003L11Rik,2
2410004B18Rik,2214
2410004I01Rik,0
2410004N09Rik,570
2410004P03Rik,2
2410006H16Rik,3563
2410007B07Rik,2
2410012E07Rik,34
2410012M07Rik,0
2410015M20Rik,2485
2410016O06Rik,485
2410017I17Rik,0
2410018L13Rik,0
2410019O14Rik,420
2410021H03Rik,0
2410022M11Rik,83
2410088K16Rik,0
2410089E03Rik,3018
2410114N07Rik,0
2410124H12Rik,0
2410127L17Rik,1111
2410131K14Rik,1046
2410137M14Rik,0
2410141K09Rik,1
2500002B13Rik,124
2500004C02Rik,321
2510002D24Rik,0
2510003B16Rik,3
2510003E04Rik,1729
2510009E07Rik,2
2510039O18Rik,600
2610001J05Rik,2131
2610002J02Rik,778
2610002M06Rik,1835
2610005L07Rik,742
2610008E11Rik,722
2610015P09Rik,1271
2610016A17Rik,0
2610020C07Rik,191
2610020H08Rik,625
2610027F03Rik,0
2610027K06Rik,1
2610028E06Rik,0
2610028H24Rik,0
2610034B18Rik,3
2610035D17Rik,522
2610035F20Rik,46
2610036A22Rik,677
2610037D02Rik,854
2610042L04Rik,1
2610044O15Rik8,487
2610100L16Rik,0
2610203C20Rik,0
2610203C22Rik,0
2610206C17Rik,23
2610300M13Rik,0
2610301B20Rik,1403
2610305D13Rik,242
2610306M01Rik,95
2610307P16Rik,0
2610316D01Rik,0
2610318N02Rik,1030
2610507B11Rik,16821
2610507I01Rik,787
2610524H06Rik,1112
2610528A11Rik,2
2610528J11Rik,0
2700012I20Rik,40
2700029M09Rik,6048
2700038G22Rik,1140
2700046A07Rik,0
2700046G09Rik,24
2700049A03Rik,2271
2700054A10Rik,5
2700060E02Rik,6980
2700062C07Rik,1269
2700068H02Rik,2
2700069I18Rik,0
2700070H01Rik,0
2700081O15Rik,1891
2700089E24Rik,3468
2700089I24Rik,0
2700094K13Rik,2238
2700097O09Rik,499
2700099C18Rik,897
2810001G20Rik,273
2810002D19Rik,392
2810004N23Rik,4672
2810006K23Rik,723
2810007J24Rik,0
2810008D09Rik,442
2810013P06Rik,409
2810021J22Rik,586
2810025M15Rik,2868
2810029C07Rik,93
2810030D12Rik,0
2810032G03Rik,0
2810039B14Rik,41
2810047C21Rik1,0
2810049E08Rik,0
2810403A07Rik,3568
2810403D21Rik,164
2810404M03Rik,0
2810405F15Rik,0
2810407A14Rik,0
2810408A11Rik,0
2810408B13Rik,9
2810408I11Rik,361
2810408M09Rik,766
2810410L24Rik,0
2810416G20Rik,197
2810417H13Rik,9955
2810428I15Rik,686
2810429I04Rik,434
2810433D01Rik,0
2810442N19Rik,33
2810454H06Rik,0
2810459M11Rik,0
2810468N07Rik,0
2810471M01Rik,0
2810474O19Rik,0
2900005J15Rik,74
2900008C10Rik,33
2900009J06Rik,2
2900011O08Rik,1
2900026A02Rik,1694
2900040C04Rik,0
2900041M22Rik,25
2900052N01Rik,0
2900055J20Rik,0
2900057B20Rik,0
2900060B14Rik,0
2900076A07Rik,194
2900079G21Rik,0
2900089D17Rik,454
2900092C05Rik,0
2900092D14Rik,0
2900097C17Rik,8009
3000002C10Rik,222
3010001F23Rik,0
3010003L21Rik,2
3010026O09Rik,946
3010033K07Rik,0
3100003L05Rik,0
3110001I22Rik,516
3110002H16Rik,1065
3110007F17Rik,2
3110009E18Rik,118
3110009F21Rik,0
3110009M11Rik,0
3110015C05Rik,0
3110021A11Rik,0
3110021N24Rik,0
3110035E14Rik,0
3110039I08Rik,0
3110039M20Rik,0
3110040M04Rik,0
3110040N11Rik,1068
3110043O21Rik,1560
3110045C21Rik,101
3110052M02Rik,263
3110053B16Rik,0
3110056K07Rik,293
3110057O12Rik,717
3110062M04Rik,220
3110070M22Rik,22
3110079O15Rik,4
3110082I17Rik,2632
3110082J24Rik,0
3110099E03Rik,0
3200001D21Rik,2
3300002A11Rik,1
3300002I08Rik,168
3300002P13Rik,0
3300005D01Rik,235
3425401B19Rik,3009
3632451O06Rik,0
3632454L22Rik,13
3830403N18Rik,3173
3830406C13Rik,758
3830408C21Rik,69
3830417A13Rik,0
3830432H09Rik,6
3930402G23Rik,0
4430402I18Rik,7
4631405J19Rik,2
4631405K08Rik,0
4632404H12Rik,313
4632415L05Rik,1024
4632427E13Rik,25
4632428C04Rik,4
4632428N05Rik,739
4732414G09Rik,0
4732416N19Rik,0
4732419C18Rik,187
4732440D04Rik,122
4732456N10Rik,0
4732465J04Rik,1
4732471J01Rik,29
4732490B19Rik,0
4732491K20Rik,163
4831407H17Rik,10
4831440D22Rik,0
4831440E17Rik,41
4833403I15Rik,0
4833411C07Rik,0
4833412C05Rik,0
4833415N18Rik,0
4833417C18Rik,139
4833418N02Rik,19
4833419F23Rik,61
4833420G17Rik,2835
4833422C13Rik,3
4833422M21Rik,2
4833423E24Rik,0
4833427F10Rik,0
4833427G06Rik,0
4833428L15Rik,0
4833438C02Rik,49
4833439L19Rik,2648
4833447I15Rik,108
4833447P13Rik,48
4921501E09Rik,0
4921504A21Rik,0
4921504E06Rik,0
4921506M07Rik,0
4921507G05Rik,2
4921507L20Rik,36
4921507P07Rik,4
4921508D12Rik,0
4921509C19Rik,0
4921509O07Rik,2
4921511C10Rik,2
4921511C20Rik,0
4921511H03Rik,0
4921511I17Rik,4
4921511M17Rik,0
4921513H07Rik,0
4921513I03Rik,0
4921515E04Rik,0
4921517D16Rik,25
4921517D22Rik,0
4921518K17Rik,0
4921524J17Rik,979
4921524L21Rik,0
4921525O09Rik,6
4921528I07Rik,0
4921529L05Rik,0
4921530L21Rik,0
4921531C22Rik,83
4921531P14Rik,0
4921533I20Rik,0
4921534H16Rik,0
4921536K21Rik,61
4921539E11Rik,0
4921539H07Rik,0
4922502D21Rik,12
4922502H24Rik,0
4922502N22Rik,0
4930401C15Rik,0
4930401G09Rik,36
4930401O10Rik,0
4930401O12Rik,0
4930402D18Rik,0
4930402F06Rik,0
4930402F11Rik,0
4930402H24Rik,495
4930402K13Rik,0
4930403D09Rik,4
4930404A05Rik,0
4930404H11Rik,0
4930404H24Rik,3
4930404I05Rik,49
4930404I20Rik,0
4930404K13Rik,0
4930404N11Rik,0
4930405A10Rik,0
4930405A21Rik,52
4930405D01Rik,0
4930405D11Rik,0
4930405J17Rik,0
4930405L22Rik,0
4930405O22Rik,5
4930406D18Rik,1
4930407G08Rik,0
4930407I02Rik,0
4930407I10Rik,58
4930407I19Rik,0
4930412B13Rik,0
4930412C18Rik,2
4930412D23Rik,0
4930412E21Rik,0
4930412L05Rik,17
4930412O13Rik,3
4930413E15Rik,0
4930413F20Rik,0
4930413G21Rik,451
4930413M19Rik,0
4930414F18Rik,0
4930414L22Rik,0
4930414N06Rik,4
4930415F15Rik,22
4930415L06Rik,0
4930415O20Rik,2
4930417H01Rik,2
4930417O13Rik,2
4930417O22Rik,0
4930419G24Rik,0
4930421P05Rik,0
4930421P07Rik,2
4930423D24Rik,0
4930423M02Rik,0
4930425K10Rik,0
4930425L21Rik,0
4930425O10Rik,0
4930426D05Rik,397
4930426I24Rik,33
4930426L09Rik,15
4930427A07Rik,417
4930428D18Rik,0
4930428D20Rik,0
4930428E07Rik,0
4930428G15Rik,2
4930428N03Rik,0
4930428O21Rik,6
4930429B21Rik,11
4930429D17Rik,0
4930429F11Rik,0
4930429F24Rik,1
4930429P21Rik,0
4930430A15Rik,0
4930430E12Rik,0
4930430F08Rik,0
4930430F21Rik,0
4930430J02Rik,7
4930431F10Rik,0
4930431F12Rik,0
4930431P03Rik,0
4930431P22Rik,0
4930432E11Rik,2
4930432J09Rik,0
4930432K21Rik,12
4930432L08Rik,0
4930432M17Rik,0
4930432O09Rik,0
4930433B08Rik,0
4930433I11Rik,0
4930433N12Rik,0
4930434B07Rik,3
4930434J06Rik,0
4930435E12Rik,0
4930435F18Rik,0
4930437M23Rik,0
4930438A08Rik,0
4930438E09Rik,0
4930439A04Rik,0
4930440C22Rik,0
4930440I19Rik,1
4930441J16Rik,0
4930442E04Rik,0
4930442J19Rik,0
4930442L01Rik,2
4930443O20Rik,2
4930444A19Rik,3
4930444F02Rik,0
4930444G20Rik,0
4930444M15Rik,0
4930444P10Rik,2
4930445E18Rik,10
4930445N18Rik,27
4930447A16Rik,0
4930447C04Rik,0
4930447F24Rik,6
4930447J18Rik,0
4930447K03Rik,3
4930447M23Rik,0
4930447N08Rik,0
4930448C13Rik,0
4930448F12Rik,0
4930448H16Rik,0
4930448I06Rik,0
4930448I18Rik,0
4930448K20Rik,0
4930449C09Rik,0
4930449E01Rik,0
4930449E18Rik,0
4930449I24Rik,0
4930451E10Rik,3
4930451G09Rik,88
4930451I11Rik,0
4930452A19Rik,0
4930452B06Rik,0
4930452G13Rik,2
4930452N14Rik,0
4930453H23Rik,0
4930453L07Rik,0
4930453N24Rik,2694
4930453O03Rik,0
4930455B14Rik,0
4930455C13Rik,13
4930455D15Rik,0
4930455F16Rik,0
4930455G09Rik,19
4930455H04Rik,0
4930455J16Rik,0
4930456L15Rik,0
4930458A03Rik,0
4930459C07Rik,0
4930459I23Rik,0
4930459L07Rik,0
4930461C15Rik,0
4930461G14Rik,0
4930463O16Rik,0
4930465K10Rik,1
4930465M20Rik,0
4930467D21Rik,0
4930467E23Rik,0
4930467J12Rik,0
4930467K11Rik,0
4930468A15Rik,0
4930469G21Rik,1
4930469K13Rik,32
4930470H14Rik,0
4930470O06Rik,0
4930470P17Rik,0
4930471C04Rik,0
4930471G03Rik,0
4930471G24Rik,0
4930471L23Rik,0
4930471M09Rik,2
4930473A02Rik,23
4930473H19Rik,13
4930473O22Rik,0
4930474G06Rik,0
4930474H20Rik,0
4930474M22Rik,0
4930474N05Rik,0
4930474N09Rik,0
4930477N07Rik,3
4930478L05Rik,4
4930478P22Rik,0
4930479D17Rik,1
4930479H17Rik,0
4930480E11Rik,0
4930480G23Rik,0
4930480K15Rik,0
4930480K23Rik,391
4930480M12Rik,0
4930481A15Rik,99
4930482G09Rik,0
4930483J18Rik,4
4930483K19Rik,20
4930483O08Rik,0
4930484H19Rik,0
4930486F22Rik,0
4930486I03Rik,0
4930486L24Rik,0
4930487D11Rik,0
4930487H11Rik,13
4930488B22Rik,0
4930488L21Rik,0
4930488N24Rik,0
4930500A05Rik,0
4930500F04Rik,0
4930500G05Rik,6
4930500H12Rik,0
4930500J02Rik,85
4930500L23Rik,0
4930502A04Rik,0
4930502C15Rik,31
4930502E09Rik,0
4930502E18Rik,0
4930502M04Rik,0
4930503B20Rik,2
4930503E14Rik,4
4930503E24Rik,1
4930503F20Rik,0
4930503H13Rik,0
4930503L19Rik,3404
4930503O07Rik,0
4930504C09Rik,0
4930504O13Rik,0
4930505A04Rik,0
4930505G20Rik,0
4930505K13Rik,0
4930505K14Rik,2
4930505N22Rik,0
4930505O20Rik,0
4930506A18Rik,0
4930506C21Rik,59
4930506M07Rik,2773
4930507D05Rik,0
4930507D10Rik,0
4930509E16Rik,630
4930509J09Rik,0
4930509K18Rik,0
4930511A02Rik,0
4930511A08Rik,0
4930511E03Rik,0
4930511M06Rik,2
4930512B01Rik,6
4930512H18Rik,0
4930512J16Rik,29
4930513D17Rik,0
4930513L16Rik,5
4930513N10Rik,214
4930513O06Rik,0
4930515B02Rik,0
4930515G01Rik,38
4930515G16Rik,0
4930515L03Rik,0
4930515L19Rik,0
4930517E11Rik,0
4930517G24Rik,0
4930517M08Rik,0
4930517O19Rik,35
4930518F22Rik,16
4930518J21Rik,0
4930518P08Rik,0
4930519D14Rik,0
4930519F09Rik,0
4930519F16Rik,0
4930519F24Rik,0
4930519G04Rik,0
4930519H02Rik,0
4930520O04Rik,37
4930520P13Rik,0
4930521E06Rik,0
4930521O11Rik,0
4930521O17Rik,0
4930522H14Rik,0
4930522L14Rik,621
4930522O17Rik,0
4930522P08Rik,30
4930523C07Rik,125
4930523O13Rik,0
