gene_id,Satrom-mRNA-6hC_CGATGT_L003_001
E130008D07Rik,0
E130012A19Rik,0
E130018N17Rik,28
E130018O15Rik,0
E130102H24Rik,3
E130111B04Rik,0
E130112N10Rik,66
E130114P18Rik,0
E130119H09Rik,0
E130201H02Rik,0
E130215H24Rik,6
E130218I03Rik,0
E130304I02Rik,5
E130307A14Rik,113
E130308A19Rik,1036
E130309D02Rik,3288
E130309D14Rik,0
E130310I04Rik,0
E130311K13Rik,177
E130317F20Rik,222
E230008N13Rik,9
E230013L22Rik,35
E230015B07Rik,8
E230016K23Rik,0
E230016M11Rik,10
E230019M04Rik,0
E230025N22Rik,21
E230029C05Rik,8
E2f1,2183
E2f2,2457
E2f3,3726
E2f4,8830
E2f5,669
E2f6,2344
E2f7,770
E2f8,2319
E330009J07Rik,2342
E330011O21Rik,0
E330012B07Rik,0
E330013P04Rik,0
E330014E10Rik,0
E330016L19Rik,0
E330017A01Rik,0
E330017L17Rik,0
E330020D12Rik,795
E330021D16Rik,0
E330023G01Rik,0
E330032C10Rik,7
E330033B04Rik,187
E330034G19Rik,0
E330035G20Rik,0
E430016F16Rik,0
E430018J23Rik,276
E430024I08Rik,299
E430024P14Rik,0
E430025E21Rik,7600
E4f1,1179
E530001F21Rik,0
E530001K10Rik,0
E530011L22Rik,22
Eaf1,10345
Eaf2,126
Eapp,1603
Ear-ps2,0
Ear-ps9,0
Ear1,0
Ear10,0
Ear14,0
Ear2,0
Ear6,0
Ears2,629
Ebag9,2319
Ebf1,6921
Ebf2,0
Ebf3,19
Ebf4,17
Ebi3,1610
Ebna1bp2,7604
Ebp,1266
Ebpl,817
Ecd,10485
Ece1,1127
Ece2,1878
Ecel1,0
Ech1,2302
Echdc1,590
Echdc2,1057
Echdc3,662
Echs1,2089
Eci1,2333
Eci2,3603
Eci3,10
Ecm1,147
Ecm2,19
Ecscr,13
Ecsit,1777
Ect2,6130
Ect2l,2
Eda,0
Eda2r,0
Edar,0
Edaradd,16
Edc3,3760
Edc4,5747
Eddm3b,2
Edem1,7029
Edem2,3050
Edem3,4594
Edf1,2881
Edil3,0
Edn1,0
Edn2,0
Edn3,2
Ednra,0
Ednrb,0
Edrf1,2059
Eea1,3809
Eed,6268
Eef1a1,461028
Eef1a1-ps1,63
Eef1a2,0
Eef1b2,52605
Eef1d,14692
Eef1e1,4946
Eef1g,52272
Eef2,213865
Eef2k,3452
Eef2kmt,1108
Eefsec,2037
Eepd1,1992
Efcab1,0
Efcab10,0
Efcab11,281
Efcab12,77
Efcab13,0
Efcab14,4213
Efcab2,351
Efcab3,88
Efcab5,86
Efcab6,0
Efcab7,706
Efcab8,4
Efcab9,108
Efcc1,9
Efemp1,0
Efemp2,28
Efhb,4
Efhc1,4
Efhc2,2
Efhd1,4
Efhd2,5714
Efna1,33
Efna2,469
Efna3,69
Efna4,93
Efna5,8
Efnb1,2219
Efnb2,10
Efnb3,118
Efr3a,3094
Efr3b,273
Efs,0
Eftud1,2110
Eftud2,17721
Egf,89
Egfem1,0
Egfl6,155
Egfl7,1437
Egfl8,0
Egflam,0
Egfr,6
Egln1,2705
Egln2,6620
Egln3,0
Egr1,196
Egr2,492
Egr3,8
Egr4,0
Ehbp1,0
Ehbp1l1,5879
Ehd1,13277
Ehd2,456
Ehd3,2267
Ehd4,4035
Ehf,0
Ehhadh,502
Ehmt1,4762
Ehmt2,0
Ei24,3455
Eid1,1168
Eid2,0
Eid2b,155
Eid3,55
Eif1,15989
Eif1-ps1,7
Eif1-ps2,0
Eif1-ps3,0
Eif1a,15782
Eif1ad,5370
Eif1ax,7165
Eif1b,1594
Eif2a,6531
Eif2ak1,3452
Eif2ak2,2741
Eif2ak3,2340
Eif2ak4,3951
Eif2b1,4266
Eif2b2,2903
Eif2b3,4413
Eif2b4,3076
Eif2b5,9500
Eif2c5,9
Eif2d,3355
Eif2s1,15963
Eif2s2,14270
Eif2s3x,4792
Eif2s3y,0
Eif3a,67672
Eif3b,34333
Eif3c,31422
Eif3d,17730
Eif3e,29995
Eif3f,15283
Eif3g,13482
Eif3h,21980
Eif3i,2777
Eif3j1,5930
Eif3j2,48
Eif3k,7954
Eif3l,16258
Eif3m,12150
Eif3s6-ps2,14
Eif3s6-ps3,0
Eif3s6-ps4,1
Eif4a-ps4,355
Eif4a1,71959
Eif4a2,16095
Eif4a3,8336
Eif4b,110661
Eif4e,14731
Eif4e1b,0
Eif4e2,7284
Eif4e3,1101
Eif4ebp1,3278
Eif4ebp2,7951
Eif4ebp3,347
Eif4enif1,12037
Eif4g1,72499
Eif4g2,89276
Eif4g3,10152
Eif4h,29898
Eif5,27928
Eif5a,1
Eif5a2,0
Eif5al3-ps,224
Eif5b,18681
Eif6,6911
Elac1,849
Elac2,4568
Elane,0
Elavl1,9330
Elavl2,0
Elavl3,32
Elavl4,0
Eldr,378
Elf1,12220
Elf2,4202
Elf3,2134
Elf4,1843
Elf5,2
Elfn1,16
Elfn2,10
Elk1,764
Elk3,2103
Elk4,4405
Ell,1380
Ell2,11559
Ell3,79
Elmo1,6153
Elmo2,1941
Elmo3,156
Elmod1,0
Elmod2,790
Elmod3,673
Elmsan1,4441
Eln,0
Elof1,2539
Elovl1,2810
Elovl2,0
Elovl3,0
Elovl4,0
Elovl5,6727
Elovl6,0
Elovl7,1307
Elp2,8623
Elp3,8804
Elp4,1350
Elp5,0
Elp6,975
Eltd1,0
Emb,0
Emc1,3768
Emc10,3293
Emc2,4030
Emc3,3903
Emc4,1976
Emc6,0
Emc7,4191
Emc8,3957
Emc9,173
Emcn,0
Emd,4461
Eme1,2375
Eme2,895
Emg1,6246
Emid1,14
Emilin1,62
Emilin2,6
Emilin3,4
Eml1,0
Eml2,1670
Eml3,2238
Eml4,13163
Eml5,251
Eml6,162
Emp1,5930
Emp2,0
Emp3,936
Emr1,121
Emr4,0
Emx1,0
Emx2,0
Emx2os,0
En1,0
En2,0
Enah,5494
Enam,20
Enc1,133
Endod1,623
Endog,97
Endou,1952
Endov,1371
Eng,15
Engase,497
Enho,88
Enkd1,1216
Enkur,0
Eno1,20231
Eno1b,10
Eno2,1110
Eno3,15
Eno4,254
Enoph1,2398
Enox1,0
Enox2,1424
Enpep,0
Enpp1,0
Enpp2,0
Enpp3,2
Enpp4,0
Enpp5,0
Enpp6,17
Enpp7,0
Ensa,6796
Enthd1,0
Enthd2,606
Entpd1,1427
Entpd2,4
Entpd3,6
Entpd4,1
Entpd5,1760
Entpd6,3279
Entpd7,1196
Entpd8,39
Eny2,3868
Eogt,1642
Eomes,0
Ep300,10406
Ep400,11268
Epas1,1
Epb4.1,8268
Epb4.1l1,213
Epb4.1l2,10333
Epb4.1l3,12
Epb4.1l4a,12
Epb4.1l4b,0
Epb4.1l5,2990
Epb4.2,2
Epc1,2283
Epc2,2788
Epcam,0
Epdr1,0
Epg5,3010
Epgn,0
Epha1,2
Epha10,4
Epha2,1
Epha3,0
Epha4,1043
Epha5,0
Epha6,0
Epha7,0
Epha8,0
Ephb1,0
Ephb2,4
Ephb3,0
Ephb4,1352
Ephb6,0
Ephx1,96
Ephx2,2
Ephx3,12
Ephx4,0
Epm2a,0
Epm2aip1,5754
Epn1,5783
Epn2,757
Epn3,36
Epo,0
Epor,21
Eppin,0
Eppk1,36
Eprs,31885
Eps15,13225
Eps15l1,4667
Eps8,10
Eps8l1,465
Eps8l2,23
Eps8l3,0
Epsti1,12
Ept1,6012
Epx,0
Epyc,0
Eqtn,36
Eral1,1537
Erap1,8169
Eras,0
Erbb2,0
Erbb2ip,17862
Erbb3,1812
Erbb4,0
Erc1,221
Erc2,0
Ercc1,650
Ercc2,2458
Ercc3,3216
Ercc4,1969
Ercc5,445
Ercc6,6775
Ercc6l,3001
Ercc6l2,6323
Ercc8,1388
Erdr1,911
Ereg,0
Erf,1289
Erg,0
Ergic1,9454
Ergic2,0
Ergic3,4242
Erh,2527
Eri1,5348
Eri2,1392
Eri3,1591
Erich1,431
Erich2,0
Erich3,15
Erich4,0
Erich5,7
Erich6,10
Erlec1,3690
Erlin1,3113
Erlin2,4552
Ermap,156
Ermard,475
Ermn,0
Ermp1,4894
Ern1,1646
Ern2,0
Ero1l,7639
Ero1lb,3033
Erp27,53
Erp29,12291
Erp44,7170
Errfi1,0
Erv3,0
Esam,4
Esco1,3212
Esco2,5525
Esd,6474
Esf1,6720
Esm1,0
Esp1,0
Esp15,0
Esp16,0
Esp18,0
Esp23,0
Esp24,0
Esp3,0
Esp31,0
Esp34,0
Esp36,0
Esp38,0
Esp4,0
Esp5,0
Esp6,0
Esp6Esp5,0
Esp8,0
Espl1,18577
Espn,250
Espnl,2328
Esr1,10
Esr2,1
Esrp1,2
Esrp2,6
Esrra,1203
Esrrb,0
Esrrg,0
Esx1,4
Esyt1,4697
Esyt2,2303
Esyt3,4
Etaa1,5541
Etd,0
Etf1,30474
Etfa,6074
Etfb,3281
Etfdh,1732
Ethe1,1179
Etl4,3317
Etnk1,11643
Etnk2,14
Etnppl,0
Etohd2,29
Etohi1,862
Ets1,12682
Ets2,1
Etv1,62
Etv2,2
Etv3,3708
Etv3l,80
Etv4,52
Etv5,302
Etv6,5964
EU599041,3
Eva1a,0
Eva1b,206
Eva1c,0
Evc,8
Evc2,0
Evi2a,1472
Evi2b,0
Evi5,1773
Evi5l,272
Evl,12
Evpl,46
Evx1,0
Evx2,0
Ewsr1,30260
Exd1,11
Exd2,550
Exo1,5698
Exo5,1337
Exoc1,2118
Exoc2,2955
Exoc3,4685
Exoc3l,369
Exoc3l2,7
Exoc3l4,38
Exoc4,1644
Exoc5,5283
Exoc6,1692
Exoc6b,262
Exoc7,2081
Exoc8,1490
Exog,953
Exosc1,3639
Exosc10,1267
Exosc2,7255
Exosc3,3761
Exosc4,1408
Exosc5,2926
Exosc6,2020
Exosc7,4330
Exosc8,3982
Exosc9,2884
Exph5,0
Ext1,18
Ext2,3556
Extl1,236
Extl2,958
Extl3,6174
Eya1,0
Eya2,2
Eya3,5608
Eya4,0
Ezh1,889
Ezh2,11437
Ezr,12246
F10,0
F11,0
F11r,17
F12,0
F13a1,0
F13b,0
F2,13
F2r,2
F2rl1,0
F2rl2,0
F2rl3,0
F3,35
F420014N23Rik,52
F420015M19Rik,1516
F5,2
F630028O10Rik,0
F630040K05Rik,2
F630042J09Rik,0
F630111L10Rik,0
F630206G17Rik,19
F7,0
F730016J06Rik,4
F730035M05Rik,0
F730043M19Rik,521
F730311O21Rik,403
F8,386
F830002L21Rik,0
F830005K03Rik,0
F830016B08Rik,0
F830045P16Rik,2
F830208F22Rik,94
F8a,34
F9,545
F930015N05Rik,0
Fa2h,5
Faah,1000
Fabp1,1
Fabp12,0
Fabp2,0
Fabp3,0
Fabp3-ps1,8
Fabp4,0
Fabp5,3634
Fabp6,0
Fabp7,0
Fabp9,0
Fadd,674
Fads1,4249
Fads2,1822
Fads3,13
Fads6,30
Faf1,5855
Faf2,4898
Fah,5363
Fahd1,646
Fahd2a,408
Faim,1182
Faim2,7
Faim3,37
Fam101a,0
Fam101b,227
Fam102a,735
Fam102b,1884
Fam103a1,1139
Fam104a,1356
Fam105a,38
Fam107a,0
Fam107b,7496
Fam109a,320
Fam109b,8
Fam110a,635
Fam110b,0
Fam110c,0
Fam111a,9432
Fam114a1,14
Fam114a2,2625
Fam117a,2641
Fam117b,2873
Fam118a,1063
Fam118b,1331
Fam120a,17280
Fam120aos,138
Fam120b,1747
Fam120c,1429
Fam122a,1236
Fam122b,1377
Fam122c,0
Fam124a,0
Fam124b,301
Fam126a,14585
Fam126b,1790
Fam129a,5928
Fam129b,302
Fam129c,3418
Fam131a,61
Fam131b,0
Fam131c,0
Fam132a,47
Fam132b,81
Fam133b,2912
Fam134a,2452
Fam134b,2502
Fam134c,4213
Fam135a,0
Fam135b,2
Fam136a,8567
Fam136b-ps,28
Fam13a,305
Fam13b,1989
Fam13c,0
Fam149a,0
Fam149b,1401
Fam150a,0
Fam150b,0
Fam151a,0
Fam151b,48
Fam154a,0
Fam154aos,0
Fam154b,71
Fam155a,0
Fam159a,0
Fam159b,0
Fam160a1,0
Fam160a2,0
Fam160b1,1665
Fam160b2,1324
Fam161a,85
Fam161b,69
Fam162a,1271
Fam162b,0
Fam163a,0
Fam163b,10
Fam166a,4
Fam166b,0
Fam167a,3924
Fam167b,3
Fam168a,1944
Fam168b,14663
Fam169a,120
Fam169b,1383
Fam170a,0
Fam170b,0
Fam171a1,0
Fam171a2,0
Fam171b,3
Fam172a,3378
Fam173a,1079
Fam173b,657
Fam174a,758
Fam174b,0
Fam175a,1257
Fam175b,1985
Fam177a,0
Fam178a,8007
Fam178b,2
Fam179a,2218
Fam179b,4912
Fam180a,0
Fam181a,0
Fam181b,0
Fam183b,0
Fam184a,4
Fam184b,3
Fam185a,2191
Fam186b,11
Fam187a,0
Fam187b,2
Fam188a,1665
Fam188b,0
Fam188b2,0
Fam189a1,0
Fam189a2,0
Fam189b,413
Fam192a,3305
Fam193a,3093
Fam193b,1816
Fam195a,845
Fam195b,1547
Fam196a,0
Fam196b,7
Fam198a,103
Fam198b,1970
Fam199x,2200
Fam19a1,0
Fam19a2,0
Fam19a3,2
Fam19a4,0
Fam19a5,1
Fam204a,2395
Fam206a,3340
Fam207a,4022
Fam208a,2386
Fam208b,6715
Fam209,7
Fam20a,2
Fam20b,4232
Fam20c,511
Fam21,8768
Fam210a,4665
Fam210b,4
Fam212a,1107
Fam212b,10
Fam213a,2984
Fam213b,4
Fam214a,1342
Fam214b,171
Fam216a,892
Fam216b,0
Fam217a,2
Fam217b,0
Fam219a,192
Fam219aos,0
Fam219b,1049
Fam220a,838
Fam221a,8
Fam221b,0
Fam222a,42
Fam222b,1632
Fam227a,56
Fam227b,0
Fam228a,0
Fam228b,0
Fam229a,0
Fam229b,99
Fam24a,0
Fam25c,0
Fam26d,0
Fam26e,0
Fam26f,0
Fam32a,3121
Fam35a,1397
Fam3a,1045
Fam3b,0
Fam3c,7748
Fam43a,7946
Fam43b,0
Fam45a,788
Fam46a,0
Fam46b,12
Fam46c,1522
Fam46d,0
Fam47c,0
Fam47e,0
Fam49a,2765
Fam49b,17065
Fam50a,1685
Fam50b,7
Fam53a,1790
Fam53b,3634
Fam53c,4302
Fam57a,424
Fam57b,5
Fam58b,1071
Fam60a,662
Fam63a,195
Fam63b,2652
Fam64a,1626
Fam65a,1547
Fam65b,1482
Fam65c,14
Fam69a,1466
Fam69b,16
Fam69c,0
Fam71a,0
Fam71b,9
Fam71d,5
Fam71e1,25
Fam71e2,2
Fam71f1,0
Fam71f2,16
Fam72a,1821
Fam73a,6003
Fam73b,1234
Fam76a,1512
Fam76b,2921
Fam78a,86
Fam78b,0
Fam81a,5
Fam81b,4
Fam83a,3
Fam83b,0
Fam83c,28
Fam83d,1224
Fam83e,33
Fam83f,9
Fam83g,144
Fam83h,589
Fam84a,0
Fam84b,0
Fam89a,169
Fam89b,765
Fam92a,1471
Fam92b,0
Fam96a,7257
Fam96b,1005
Fam98a,4511
Fam98b,5427
Fam98c,531
Fan1,285
Fanca,2907
Fancb,951
Fancc,1006
Fancd2,4232
Fancd2os,5
Fance,0
Fancf,103
Fancg,1070
Fanci,1369
Fancl,1505
Fancm,2009
Fank1,6
Fap,0
Far1,11709
Far1os,38
Far2,0
Farp1,593
Farp2,325
Fars2,992
Farsa,7310
Farsb,2118
Fas,492
Fasl,2
Fasn,49803
Fastk,2546
Fastkd1,1418
Fastkd2,4531
Fastkd3,1582
Fastkd5,1508
Fat1,1
Fat2,0
Fat3,0
Fat4,0
Fate1,0
Fau,14871
Faxc,0
Fbf1,2911
Fbl,9037
Fblim1,30
Fbll1,0
Fbln1,899
Fbln2,7
Fbln5,91
Fbln7,0
Fbn1,4
Fbn2,0
Fbp1,0
Fbp2,0
Fbrs,6783
Fbrsl1,1208
Fbxl12,293
Fbxl12os,47
Fbxl13,21
Fbxl14,2842
Fbxl15,189
Fbxl16,4
Fbxl17,1887
Fbxl18,809
Fbxl19,4487
Fbxl2,108
Fbxl20,1637
Fbxl21,2
Fbxl22,45
Fbxl3,4735
Fbxl4,640
Fbxl5,2480
Fbxl6,1953
Fbxl7,0
Fbxl8,206
Fbxo10,242
Fbxo11,9715
Fbxo15,7
Fbxo16,0
Fbxo17,0
Fbxo18,2502
Fbxo2,20
Fbxo21,2702
Fbxo22,2411
Fbxo24,41
Fbxo25,428
Fbxo27,0
Fbxo28,1302
Fbxo3,4123
Fbxo30,572
Fbxo31,1112
Fbxo32,331
Fbxo33,1702
Fbxo34,2401
Fbxo36,222
Fbxo38,4210
Fbxo39,0
Fbxo4,956
Fbxo40,975
Fbxo41,0
Fbxo42,2966
Fbxo43,5
Fbxo44,210
Fbxo45,3455
Fbxo46,595
Fbxo47,73
Fbxo48,634
Fbxo5,3840
Fbxo6,286
Fbxo7,925
Fbxo8,934
Fbxo9,1151
Fbxw10,14
Fbxw11,7368
Fbxw13,0
Fbxw14,0
Fbxw15,0
Fbxw16,2
Fbxw17,382
Fbxw18,0
Fbxw19,0
Fbxw2,3022
Fbxw20,0
Fbxw21,0
Fbxw22,0
Fbxw23,0
Fbxw24,1
Fbxw25,0
Fbxw26,0
Fbxw27,0
Fbxw28,0
Fbxw4,863
Fbxw5,1906
Fbxw7,2404
Fbxw8,8236
Fbxw9,362
Fcamr,453
Fcer1a,0
Fcer1g,1329
Fcer2a,63
Fcf1,2554
Fcgbp,0
Fcgr1,1
Fcgr2b,822
Fcgr3,200
Fcgr4,425
Fcgrt,15
Fcho1,3554
Fcho2,4148
Fchsd1,362
Fchsd2,4163
Fcna,7
Fcnb,0
Fcor,0
Fcrl1,2310
Fcrl5,1783
Fcrl6,0
Fcrla,369
Fcrlb,22
Fcrls,11
Fdft1,3352
Fdps,5692
Fdx1,1441
Fdx1l,104
Fdxacb1,473
Fdxr,1349
Fech,2423
Fem1a,8219
Fem1b,12513
Fem1c,1892
Fen1,10882
Fendrr,0
Fer,0
Fer1l4,5
Fer1l5,219
Fer1l6,65
Ferd3l,0
Fermt1,1
Fermt2,0
Fermt3,3057
Fes,1275
Fetub,12
Fev,0
Fez1,0
Fez2,475
Fezf1,0
Fezf2,0
Ffar1,116
Ffar2,31
Ffar3,2
Ffar4,0
Fga,0
Fgb,0
Fgd1,5
Fgd2,2947
Fgd3,1453
Fgd4,0
Fgd5,2
Fgd6,3345
Fgf1,6
Fgf10,0
Fgf11,618
Fgf12,0
Fgf13,0
Fgf14,0
Fgf15,0
Fgf16,0
Fgf17,1
Fgf18,6
Fgf2,3
Fgf20,3
Fgf21,8
Fgf22,31
Fgf23,0
Fgf2os,1
Fgf3,0
Fgf4,0
Fgf5,0
Fgf6,0
Fgf7,4
Fgf8,0
Fgf9,30
Fgfbp1,0
Fgfbp3,118
Fgfr1,0
Fgfr1op,4537
Fgfr1op2,3458
Fgfr2,0
Fgfr3,139
Fgfr4,0
Fgfrl1,41
Fgg,0
Fggy,491
Fgl1,0
Fgl2,11
Fgr,21
Fh1,6018
Fhad1,677
Fhad1os1,0
Fhad1os2,25
Fhdc1,32
Fhit,45
Fhl1,2
Fhl2,0
Fhl3,569
Fhl4,83
Fhl5,0
Fhod1,1186
Fhod3,3
Fibcd1,14
Fibin,0
Fibp,1308
Ficd,242
Fig4,2467
Figf,0
Figla,0
Fign,0
Fignl1,9307
Fignl2,0
Filip1,2
Filip1l,1298
Fip1l1,7937
Firre,1609
Fis1,1912
Fitm1,3
Fitm2,463
Fiz1,2653
Fjx1,0
Fkbp10,18
Fkbp11,1373
Fkbp14,20
Fkbp15,2871
Fkbp1a,13167
Fkbp1a-ps1,65
Fkbp1a-ps2,0
Fkbp1a-ps3,0
Fkbp1b,40
Fkbp2,1412
Fkbp3,4623
Fkbp4,26271
Fkbp5,1
Fkbp6,0
Fkbp7,58
Fkbp8,5411
Fkbp9,0
Fkbpl,0
Fkrp,2131
Fktn,5277
Flad1,1068
Flcn,4415
Flg,0
Flg2,0
Fli1,2715
Flii,5289
Flna,15856
Flnb,20774
Flnc,34
Flot1,59
Flot2,23
Flrt1,13
Flrt2,0
Flrt3,0
Flt1,124
Flt3,584
Flt3l,213
Flt4,2
Flywch1,2130
Flywch2,0
Fmn1,1
Fmn2,2
Fmnl1,4198
Fmnl2,3859
Fmnl3,4020
Fmo1,0
Fmo2,0
Fmo3,0
Fmo4,0
Fmo5,18
Fmo6,0
Fmo9,0
Fmod,0
Fmr1,6827
Fmr1nb,0
Fn1,0
Fn3k,0
Fn3krp,656
Fnbp1,8986
Fnbp1l,2590
Fnbp4,6560
Fnd3c2,0
Fndc1,942
Fndc3a,5437
Fndc3b,0
Fndc3c1,0
Fndc4,6
Fndc5,0
Fndc7,77
Fndc8,29
Fndc9,570
Fnip1,5958
Fnip2,44
Fnta,3922
Fntb,1254
Focad,2426
Folh1,0
Folr1,10
Folr2,46
Fopnl,1678
Fos,33
Fosb,9
Fosl1,0
Fosl2,179
Foxa1,0
Foxa2,0
Foxa3,0
Foxb1,0
Foxb2,0
Foxc1,1
Foxc2,0
Foxd1,0
Foxd2,14
Foxd2os,406
Foxd3,0
Foxd4,0
Foxe1,0
Foxe3,0
Foxf1,0
Foxf2,0
Foxg1,0
Foxh1,11
Foxi1,0
Foxi2,0
Foxi3,3
Foxj1,99
Foxj2,1033
Foxj3,4616
Foxk1,4728
Foxk2,7168
Foxl1,0
Foxl2,1
Foxl2os,0
Foxm1,4863
Foxn1,3
Foxn2,3154
Foxn3,3265
Foxn4,2
Foxo1,3909
Foxo3,2484
Foxo4,1404
Foxo6,32
Foxo6os,0
Foxp1,10460
Foxp2,0
Foxp3,26
Foxp4,3111
Foxq1,0
Foxr1,46
Foxr2,0
Foxred1,2620
Foxred2,50
Foxs1,6
Fpgs,3110
Fpgt,1067
Fpr-rs3,0
Fpr-rs4,0
Fpr-rs5,0
Fpr-rs6,0
Fpr-rs7,0
Fpr1,0
Fpr2,0
Fpr3,0
Fra10ac1,1500
Fras1,8130
Frat1,146
Frat2,595
Frem1,0
Frem2,2
Frem3,0
Frg1,669
Frk,0
Frmd3,0
Frmd4a,6
Frmd4b,81
Frmd5,194
Frmd6,12
Frmd7,2
Frmd8,2427
Frmd8os,32
Frmpd1,0
Frmpd1os,0
Frmpd3,0
Frmpd4,4
Frrs1,822
Frrs1l,4
Frs2,2689
Frs3,67
Frs3os,5
Fry,2
Fryl,8286
Frzb,0
Fsbp,62
Fscb,0
Fscn1,130
Fscn2,22
Fscn3,0
Fsd1,2
Fsd1l,9
Fsd2,94
Fshb,0
Fshr,0
Fsip1,34
Fsip2,0
Fst,0
Fstl1,79
Fstl3,2
Fstl4,0
Fstl5,0
Ftcd,0
Fth1,57381
Fthl17,0
Ftl1,20720
Ftl2,929
Ftmt,0
Fto,5189
Ftsj1,1452
Ftsj2,602
Ftsj3,18989
Ftx,184
Fubp1,27699
Fubp3,6928
Fuca1,2334
Fuca2,2750
Fuk,814
Fundc1,1659
Fundc2,1922
Fuom,13
Furin,7283
Fus,33221
Fut1,29
Fut10,0
Fut11,366
Fut2,3
Fut4,0
Fut4-ps1,0
Fut7,50
Fut8,8355
Fut9,0
Fuz,764
Fv1,87
Fxn,1092
Fxr1,8423
Fxr2,5452
Fxyd1,12
Fxyd2,0
Fxyd3,0
Fxyd4,6
Fxyd5,1465
Fxyd6,4
Fxyd7,0
Fyb,0
Fyco1,1790
Fyn,7824
Fyttd1,11745
Fzd1,0
Fzd10,0
Fzd2,64
Fzd3,0
Fzd4,0
Fzd5,206
Fzd6,0
Fzd7,2017
Fzd8,0
Fzd9,0
Fzr1,4649
G0s2,11
G2e3,3304
G370120E05Rik,22
G3bp1,26984
G3bp2,15681
G430049J08Rik,0
G430095P16Rik,10
G530011O06Rik,53
G630016G05Rik,0
G630018N14Rik,0
G630025P09Rik,17
G630055G22Rik,0
G630064G18Rik,0
G630071F17Rik,0
G630090E17Rik,0
G630093K05Rik,0
G6b,0
G6bos,0
G6pc,2
G6pc2,0
G6pc3,1118
G6pd2,0
G6pdx,2994
G730013B05Rik,69
G930009F23Rik,0
Gaa,9904
Gab1,0
Gab2,303
Gab3,43
Gabarap,0
Gabarapl1,3072
Gabarapl2,678
Gabbr1,0
Gabbr2,4
Gabpa,7452
Gabpb1,2947
Gabpb2,8007
Gabra1,0
Gabra2,0
Gabra3,0
Gabra4,0
Gabra5,0
Gabra6,0
Gabrb1,14
Gabrb2,0
Gabrb3,0
Gabrd,0
Gabre,0
Gabrg1,0
Gabrg2,0
Gabrg3,0
Gabrp,0
Gabrq,0
Gabrr1,138
Gabrr2,6
Gabrr3,0
Gad1,2
Gad1-ps,0
Gad1os,0
Gad2,0
Gadd45a,477
Gadd45b,751
Gadd45g,20
Gadd45gip1,3363
Gadl1,0
Gak,8952
Gal,0
Gal3st1,2
Gal3st2,1
Gal3st3,1
Gal3st4,25
Galc,1358
Gale,733
Galk1,6943
Galk2,1854
Galm,0
Galns,1930
Galnt1,10281
Galnt10,241
Galnt11,533
Galnt12,1477
Galnt13,0
Galnt14,191
Galnt15,2
Galnt16,1
Galnt18,0
Galnt2,7685
Galnt3,0
Galnt4,324
Galnt5,0
Galnt6,38
Galnt7,6535
Galnt9,1
Galntl5,0
Galntl6,2
Galp,0
Galr1,0
Galr2,324
Galr3,50
Galt,528
Gamt,9
Gan,609
Ganab,17143
Ganc,434
Gap43,0
Gapdh,47057
Gapdhs,66
Gapt,83
Gapvd1,10643
Gar1,5060
Garem,0
Gareml,4
Garnl3,9
Gars,20228
Gart,29873
Gas1,0
Gas2,94
Gas2l1,632
Gas2l2,4
Gas2l3,1848
Gas5,15392
Gas6,2
Gas7,2500
Gas8,1560
Gast,0
Gata1,30
Gata2,0
Gata3,8
Gata4,6
Gata5,8
Gata5os,0
Gata6,17
Gatad1,4205
Gatad2a,10047
Gatad2b,7584
Gatb,1464
Gatc,2498
Gatm,0
Gatsl2,311
Gatsl3,149
Gba,2599
Gba2,1045
Gbas,1138
Gbe1,0
Gbf1,3813
Gbgt1,4
Gbp10,20
Gbp11,0
Gbp2,106
Gbp2b,6
Gbp3,730
Gbp4,637
Gbp5,4
Gbp6,17
Gbp7,28
Gbp8,173
Gbp9,449
Gbx1,0
Gbx2,0
Gc,0
Gca,0
Gcat,2291
Gcc1,927
Gcc2,4195
Gcdh,1222
Gcfc2,952
Gcg,0
Gcgr,3
Gch1,525
Gchfr,51
Gck,23
Gckr,0
Gclc,11974
Gclm,5891
Gcm1,0
Gcm2,195
Gcn1l1,13482
Gcnt1,483
Gcnt2,1
Gcnt3,1
Gcnt4,0
Gcnt7,25
Gcsam,0
Gcsh,3450
Gda,0
Gdap1,6
Gdap10,359
Gdap1l1,0
Gdap2,1410
Gde1,3454
Gdf1,0
Gdf10,0
Gdf11,769
Gdf15,6
Gdf2,0
Gdf3,0
Gdf5,0
Gdf6,0
Gdf7,11
Gdf9,6
Gdi1,2140
Gdi2,24567
Gdnf,0
Gdpd1,0
Gdpd2,0
Gdpd3,27
Gdpd4,0
Gdpd5,494
Gdpgp1,381
Gem,914
Gemin2,1470
Gemin4,5076
Gemin5,4
Gemin6,2678
Gemin7,1465
Gemin8,450
Gen1,2980
Get4,2907
Gfap,0
Gfer,1865
Gfi1,234
Gfi1b,311
Gfm1,5863
Gfm2,3659
Gfod1,56
Gfod2,641
Gfpt1,8347
Gfpt2,11
Gfra1,0
Gfra2,0
Gfra3,0
Gfra4,1
Gfral,0
Gfy,0
Gga1,2054
Gga2,6718
Gga3,3251
Ggact,1136
Ggct,398
Ggcx,0
Ggh,0
Ggn,49
Ggnbp1,174
Ggnbp2,5671
Ggnbp2os,114
Ggps1,1780
Ggt1,85
Ggt5,0
Ggt6,0
Ggt7,155
Ggta1,4197
Gh,26
Ghdc,712
Ghitm,24377
Ghr,0
Ghrh,1
